from_space,to_space,from_time,to_time,cost
0,1,0,5,5
0,1,1,5,4
0,1,2,4,2
0,1,3,7,4
0,1,4,7,3
0,1,5,9,4
0,1,6,8,2
0,1,7,11,4
0,1,8,11,3
0,1,9,11,2
0,2,0,5,5
0,2,1,6,5
0,2,2,5,3
0,2,3,8,5
0,2,4,8,4
0,2,5,9,4
0,2,6,9,3
0,4,0,2,2
0,4,1,3,2
0,4,2,4,2
0,4,3,4,1
0,4,4,6,2
0,4,5,8,3
0,4,6,8,2
0,4,7,9,2
0,4,8,10,2
0,4,9,11,2
0,4,10,11,1
1,0,0,4,4
1,0,1,4,3
1,0,2,5,3
1,0,3,5,2
1,0,4,6,2
1,0,5,8,3
1,0,6,10,4
1,0,7,9,2
1,0,8,10,2
1,4,0,1,1
1,4,1,3,2
1,4,2,4,2
1,4,3,4,1
1,4,4,6,2
1,4,5,7,2
1,4,6,8,2
1,4,7,8,1
1,4,8,10,2
1,3,0,5,5
1,3,1,6,5
1,3,2,5,3
1,3,3,7,4
1,3,4,9,5
1,3,5,8,3
1,3,6,10,4
1,3,7,10,3
2,0,0,3,3
2,0,1,6,5
2,0,2,6,4
2,0,3,7,4
2,0,4,8,4
2,0,5,9,4
2,0,6,11,5
2,0,9,11,2
2,3,0,1,1
2,3,1,4,3
2,3,2,3,1
2,3,3,5,2
2,3,4,7,3
2,3,5,6,1
2,3,6,11,5
2,3,7,11,4
2,3,8,11,3
3,1,0,4,4
3,1,1,5,4
3,1,2,6,4
3,1,3,7,4
3,1,4,7,3
3,1,5,8,3
3,1,6,10,4
3,1,7,10,3
3,2,0,2,2
3,2,1,3,2
3,2,2,6,4
3,2,3,4,1
3,2,4,8,4
3,2,5,9,4
3,2,6,9,3
3,2,7,10,3
3,2,8,9,1
4,5,0,2,2
4,5,1,3,2
4,5,2,5,3
4,5,3,5,2
4,5,4,6,2
4,5,5,7,2
4,5,6,9,3
4,5,7,8,1
4,5,8,11,3
4,5,9,10,1
5,2,0,1,1
5,2,1,2,1
5,2,2,3,1
5,2,3,5,2
5,2,4,7,3
5,2,5,7,2
5,2,6,10,4
5,2,7,9,2
5,2,8,11,3
5,2,9,10,1
5,3,0,2,2
5,3,1,4,3
5,3,2,6,4
5,3,3,5,2
5,3,4,6,2
5,3,5,8,3
5,3,6,9,3
5,3,7,10,3
5,3,8,11,3
5,3,9,10,1
0,0,0,1,1
0,0,1,2,1
0,0,2,3,1
0,0,3,4,1
0,0,4,5,1
0,0,5,6,1
0,0,6,7,1
0,0,7,8,1
0,0,8,9,1
0,0,9,10,1
0,0,10,11,1
1,1,0,1,1
1,1,1,2,1
1,1,2,3,1
1,1,3,4,1
1,1,4,5,1
1,1,5,6,1
1,1,6,7,1
1,1,7,8,1
1,1,8,9,1
1,1,9,10,1
1,1,10,11,1
2,2,0,1,1
2,2,1,2,1
2,2,2,3,1
2,2,3,4,1
2,2,4,5,1
2,2,5,6,1
2,2,6,7,1
2,2,7,8,1
2,2,8,9,1
2,2,9,10,1
2,2,10,11,1
3,3,0,1,1
3,3,1,2,1
3,3,2,3,1
3,3,3,4,1
3,3,4,5,1
3,3,5,6,1
3,3,6,7,1
3,3,7,8,1
3,3,8,9,1
3,3,9,10,1
3,3,10,11,1
4,4,0,1,1
4,4,1,2,1
4,4,2,3,1
4,4,3,4,1
4,4,4,5,1
4,4,5,6,1
4,4,6,7,1
4,4,7,8,1
4,4,8,9,1
4,4,9,10,1
4,4,10,11,1
5,5,0,1,1
5,5,1,2,1
5,5,2,3,1
5,5,3,4,1
5,5,4,5,1
5,5,5,6,1
5,5,6,7,1
5,5,7,8,1
5,5,8,9,1
5,5,9,10,1
5,5,10,11,1
