space,time,x_coord,y_coord
0,0,0,2
1,0,0,0
2,0,4,2
3,0,4,0
4,0,1,1
5,0,3,1
0,1,0,2
1,1,0,0
2,1,4,2
3,1,4,0
4,1,1,1
5,1,3,1
0,2,0,2
1,2,0,0
2,2,4,2
3,2,4,0
4,2,1,1
5,2,3,1
0,3,0,2
1,3,0,0
2,3,4,2
3,3,4,0
4,3,1,1
5,3,3,1
0,4,0,2
1,4,0,0
2,4,4,2
3,4,4,0
4,4,1,1
5,4,3,1
0,5,0,2
1,5,0,0
2,5,4,2
3,5,4,0
4,5,1,1
5,5,3,1
0,6,0,2
1,6,0,0
2,6,4,2
3,6,4,0
4,6,1,1
5,6,3,1
0,7,0,2
1,7,0,0
2,7,4,2
3,7,4,0
4,7,1,1
5,7,3,1
0,8,0,2
1,8,0,0
2,8,4,2
3,8,4,0
4,8,1,1
5,8,3,1
0,9,0,2
1,9,0,0
2,9,4,2
3,9,4,0
4,9,1,1
5,9,3,1
0,10,0,2
1,10,0,0
2,10,4,2
3,10,4,0
4,10,1,1
5,10,3,1
0,11,0,2
1,11,0,0
2,11,4,2
3,11,4,0
4,11,1,1
5,11,3,1
